INFO:2023-10-10 13:47:04,087:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:05,139:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:05,140:Article 'Wie Docsie LLM das Datenmanagement im Gesundheitswesen rationalisiert'. Translate Article title from 'en' to 'de'
INFO:2023-10-10 13:47:05,140:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:05,894:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:05,896:Article 'Wie Docsie LLM das Datenmanagement im Gesundheitswesen rationalisiert'. Translate Article summary from 'en' to 'de'
INFO:2023-10-10 13:47:05,896:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:07,156:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:07,163:Article 'Wie Docsie LLM das Datenmanagement im Gesundheitswesen rationalisiert'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:07,163:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:08,199:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:08,201:Category 'AI'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:08,201:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:09,088:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:09,090:Category 'LLM'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:09,091:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:09,893:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:09,893:Category 'Marken-Blog'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:09,894:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:11,061:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:11,069:Article "Docsie's Bug Bounty Programm". Translate Article title from 'en' to 'de'
INFO:2023-10-10 13:47:11,070:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:11,857:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:11,860:Article "Docsie's Bug Bounty Programm". Translate Article summary from 'en' to 'de'
INFO:2023-10-10 13:47:11,861:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:14,287:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:14,292:Article "Docsie's Bug Bounty Programm". Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:14,293:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:17,109:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:17,163:Category 'Technisches Schreiben'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:17,165:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:19,000:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:19,002:Category 'Bug Bounty Programm'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:19,008:Article from cache "Docsie's LLM: Revolutionierung des KI-Wissensmanagements für den Kundenservice im Einzelhandel"
INFO:2023-10-10 13:47:19,011:Article from cache 'Benutzerdefinierte Wissensdatenbanken: Pro und Kontra'
INFO:2023-10-10 13:47:19,012:Article from cache 'Optimieren Sie Ihre API: Bewährte Praktiken für die Dokumentation'
INFO:2023-10-10 13:47:19,015:Article from cache 'Wie man klare, prägnante Bedienungsanleitungen schreibt'
INFO:2023-10-10 13:47:19,018:Article from cache 'Effektive SOP erstellen: Leitlinien, Beispiele, Vorlagen'
INFO:2023-10-10 13:47:19,019:Article from cache 'Was ist Prozessdokumentation und warum ist sie wichtig?'
INFO:2023-10-10 13:47:19,020:Article from cache '10 Schlüsselfaktoren, die bei der Erstellung kontextsensitiver Hilfe und In-App-Anleitungen zu berücksichtigen sind'
INFO:2023-10-10 13:47:19,022:Article from cache '12 erstaunliche Plugins für Gatsby.js für 2024'
INFO:2023-10-10 13:47:19,023:Article from cache 'Einsatz von KI bei der Übersetzung von technischen Handbüchern: Kosteneffiziente Lösungen für das moderne Zeitalter'
INFO:2023-10-10 13:47:19,024:Article from cache '  5 ultimative Gründe, Docsie als Ihr Help Authoring Tool zu wählen'
INFO:2023-10-10 13:47:19,028:Article from cache 'Vorteile einer Wissensdatenbank in der Fertigungsindustrie'
INFO:2023-10-10 13:47:19,029:Article from cache 'Die Bedeutung der Wissensbasis in der FinTech-Branche'
INFO:2023-10-10 13:47:19,031:Article from cache 'Optimieren Sie Ihr Docsie-Portal für SEO'
INFO:2023-10-10 13:47:19,032:Article from cache 'Kundeneinführungsdokumentation mit Live-Beispielen - Best Practices im Jahr 2023'
INFO:2023-10-10 13:47:19,033:Article from cache 'Was sind Webhooks, und wie nutzt Docsie sie zu seinem Vorteil?'
INFO:2023-10-10 13:47:19,035:Article from cache 'Archbee-Preise vs. Slab-Preise vs. Docsie-Preise: Ein umfassender Vergleich'
INFO:2023-10-10 13:47:19,036:Article from cache 'Document360, Gitbook und Docsie: Preis- und Funktionsanalyse von Dokumentationsplattformen'
INFO:2023-10-10 13:47:19,037:Article from cache 'Coda vs. Notion vs. Docsie - Ein detaillierter Funktionsvergleich'
INFO:2023-10-10 13:47:19,039:Article from cache '12 verblüffende Tipps für die Erstellung eines technischen Leitfadens, um Ihre Leser zu begeistern'
INFO:2023-10-10 13:47:19,039:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:19,852:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:19,854:Article 'Wie man mit organisierter und automatisierter Produktdokumentation gewinnt'. Translate Article title from 'en' to 'de'
INFO:2023-10-10 13:47:19,854:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:20,797:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:20,828:Article 'Wie man mit organisierter und automatisierter Produktdokumentation gewinnt'. Translate Article summary from 'en' to 'de'
INFO:2023-10-10 13:47:20,830:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:22,016:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:22,114:Article 'Wie man mit organisierter und automatisierter Produktdokumentation gewinnt'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:22,117:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:24,988:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:24,993:Category 'Produktdokumentation'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:24,994:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:29,117:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:29,119:Category 'Produktmanagement'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:29,119:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:30,209:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:30,211:Category 'Dokumentationsportale'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:30,211:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:32,008:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:32,012:Category 'Bewährte Praktiken'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:32,013:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:32,675:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:32,676:Category 'Technisches Schreiben'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:32,676:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:34,494:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:34,496:Category 'Tutorials zur Produktdokumentation'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:34,505:Article from cache 'Die 15 besten Praktiken für die Dokumentation von Produktversionen'
INFO:2023-10-10 13:47:34,506:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:36,245:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:36,247:Article '15 bewährte Praktiken bei der Einführung einer neuen Produktdokumentation'. Translate Article title from 'en' to 'de'
INFO:2023-10-10 13:47:36,248:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:44,633:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:44,636:Article '15 bewährte Praktiken bei der Einführung einer neuen Produktdokumentation'. Translate Article summary from 'en' to 'de'
INFO:2023-10-10 13:47:44,636:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:48,092:DeepL API response status_code=200 url=https://api.deepl.com/v2/translate
INFO:2023-10-10 13:47:48,109:Article '15 bewährte Praktiken bei der Einführung einer neuen Produktdokumentation'. Translate Article markdown from 'en' to 'de'
INFO:2023-10-10 13:47:48,111:Request to DeepL API method=POST url=https://api.deepl.com/v2/translate
